"Variables"	"Type"	"Description"
"ID"	"Numeric"	"Subject Id"
"Activity"	"Factor"	"Activity Completed"
"Time_Body_Acceleration.mean()-X"	"Numeric"	"Measurement"
"Time_Body_Acceleration.mean()-Y"	"Numeric"	"Measurement"
"Time_Body_Acceleration.mean()-Z"	"Numeric"	"Measurement"
"Time_Gravity_Acceleration.mean()-X"	"Numeric"	"Measurement"
"Time_Gravity_Acceleration.mean()-Y"	"Numeric"	"Measurement"
"Time_Gravity_Acceleration.mean()-Z"	"Numeric"	"Measurement"
"Time_Body_AccelerationJerk.mean()-X"	"Numeric"	"Measurement"
"Time_Body_AccelerationJerk.mean()-Y"	"Numeric"	"Measurement"
"Time_Body_AccelerationJerk.mean()-Z"	"Numeric"	"Measurement"
"Time_Body_Gyrometer.mean()-X"	"Numeric"	"Measurement"
"Time_Body_Gyrometer.mean()-Y"	"Numeric"	"Measurement"
"Time_Body_Gyrometer.mean()-Z"	"Numeric"	"Measurement"
"Time_Body_GyrometerJerk.mean()-X"	"Numeric"	"Measurement"
"Time_Body_GyrometerJerk.mean()-Y"	"Numeric"	"Measurement"
"Time_Body_GyrometerJerk.mean()-Z"	"Numeric"	"Measurement"
"Time_Body_AccelerationMag.mean()"	"Numeric"	"Measurement"
"Time_Gravity_AccelerationMag.mean()"	"Numeric"	"Measurement"
"Time_Body_AccelerationJerkMag.mean()"	"Numeric"	"Measurement"
"Time_Body_GyrometerMag.mean()"	"Numeric"	"Measurement"
"Time_Body_GyrometerJerkMag.mean()"	"Numeric"	"Measurement"
"Frequency_Body_Acceleration.mean()-X"	"Numeric"	"Measurement"
"Frequency_Body_Acceleration.mean()-Y"	"Numeric"	"Measurement"
"Frequency_Body_Acceleration.mean()-Z"	"Numeric"	"Measurement"
"Frequency_Body_AccelerationJerk.mean()-X"	"Numeric"	"Measurement"
"Frequency_Body_AccelerationJerk.mean()-Y"	"Numeric"	"Measurement"
"Frequency_Body_AccelerationJerk.mean()-Z"	"Numeric"	"Measurement"
"Frequency_Body_Gyrometer.mean()-X"	"Numeric"	"Measurement"
"Frequency_Body_Gyrometer.mean()-Y"	"Numeric"	"Measurement"
"Frequency_Body_Gyrometer.mean()-Z"	"Numeric"	"Measurement"
"Frequency_Body_AccelerationMag.mean()"	"Numeric"	"Measurement"
"Frequency_Body_AccJerkMag.mean()"	"Numeric"	"Measurement"
"Frequency_Body_GyroMag.mean()"	"Numeric"	"Measurement"
"Frequency_Body_GyroJerkMag.mean()"	"Numeric"	"Measurement"
"Time_Body_Acceleration.std()-X"	"Numeric"	"Measurement"
"Time_Body_Acceleration.std()-Y"	"Numeric"	"Measurement"
"Time_Body_Acceleration.std()-Z"	"Numeric"	"Measurement"
"Time_Gravity_Acceleration.std()-X"	"Numeric"	"Measurement"
"Time_Gravity_Acceleration.std()-Y"	"Numeric"	"Measurement"
"Time_Gravity_Acceleration.std()-Z"	"Numeric"	"Measurement"
"Time_Body_AccelerationJerk.std()-X"	"Numeric"	"Measurement"
"Time_Body_AccelerationJerk.std()-Y"	"Numeric"	"Measurement"
"Time_Body_AccelerationJerk.std()-Z"	"Numeric"	"Measurement"
"Time_Body_Gyrometer.std()-X"	"Numeric"	"Measurement"
"Time_Body_Gyrometer.std()-Y"	"Numeric"	"Measurement"
"Time_Body_Gyrometer.std()-Z"	"Numeric"	"Measurement"
"Time_Body_GyrometerJerk.std()-X"	"Numeric"	"Measurement"
"Time_Body_GyrometerJerk.std()-Y"	"Numeric"	"Measurement"
"Time_Body_GyrometerJerk.std()-Z"	"Numeric"	"Measurement"
"Time_Body_AccelerationMag.std()"	"Numeric"	"Measurement"
"Time_Gravity_AccelerationMag.std()"	"Numeric"	"Measurement"
"Time_Body_AccelerationJerkMag.std()"	"Numeric"	"Measurement"
"Time_Body_GyrometerMag.std()"	"Numeric"	"Measurement"
"Time_Body_GyrometerJerkMag.std()"	"Numeric"	"Measurement"
"Frequency_Body_Acceleration.std()-X"	"Numeric"	"Measurement"
"Frequency_Body_Acceleration.std()-Y"	"Numeric"	"Measurement"
"Frequency_Body_Acceleration.std()-Z"	"Numeric"	"Measurement"
"Frequency_Body_AccelerationJerk.std()-X"	"Numeric"	"Measurement"
"Frequency_Body_AccelerationJerk.std()-Y"	"Numeric"	"Measurement"
"Frequency_Body_AccelerationJerk.std()-Z"	"Numeric"	"Measurement"
"Frequency_Body_Gyrometer.std()-X"	"Numeric"	"Measurement"
"Frequency_Body_Gyrometer.std()-Y"	"Numeric"	"Measurement"
"Frequency_Body_Gyrometer.std()-Z"	"Numeric"	"Measurement"
"Frequency_Body_AccelerationMag.std()"	"Numeric"	"Measurement"
"Frequency_Body_AccJerkMag.std()"	"Numeric"	"Measurement"
"Frequency_Body_GyroMag.std()"	"Numeric"	"Measurement"
"Frequency_Body_GyroJerkMag.std()"	"Numeric"	"Measurement"
